Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4
Oppenheimer,2023,R,180 min,Biography,8.4,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,89,Christopher Nolan,Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.
Barbie,2023,PG-13,114 min,Adventure,6.9,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",80,Greta Gerwig,Margot Robbie,Ryan Gosling,Issa Rae,Kate McKinnon
Ready Player One,2018,PG-13,140 min,Action,7.4,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",92,Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe
